Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"S4196, S-4196",Dory Previn And André Previn Conducted By John Williams (4),Valley Of The Dolls (Music From The Motion Picture Soundtrack),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1967,2660148,Uncategorized,2025-06-15 10:39:33,,,
"S4208, 4208",Jerry Goldsmith,Patton (Original Motion Picture Score),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1970,1036542,Uncategorized,2025-06-15 10:45:29,,,
T-407,Barry White,I've Got So Much To Give,20th Century Records,"LP, Album, San",,1973,554024,Uncategorized,2025-06-15 10:03:58,,,
QR 16056,Sam Cooke,The Pick Of...,51 West,"LP, Comp",,1979,6575146,Uncategorized,2026-04-07 18:06:18,,,
75002,Dr. Octagon,Dr. Octagonecologyst,75 Ark,"2xLP, Album, RE",,2001,738719,Uncategorized,2025-06-15 10:31:47,,,
SP-3631,The Flying Burrito Bros,Close Up The Honky Tonks,A&M Records,"2xLP, Comp",,1974,1585012,Uncategorized,2025-11-08 08:59:03,,,
SP-4112,Herb Alpert & The Tijuana Brass,!!Going Places!!,A&M Records,"LP, Album, Mon",,1965,373494,Uncategorized,2025-06-15 10:53:14,,,
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, San",,1967,691603,Uncategorized,2025-06-15 10:13:18,,,
"SP-3502, SP 3502",Carpenters,Carpenters,"A&M Records, A&M Records","LP, Album, Ter",,1971,601009,Uncategorized,2025-06-15 10:42:36,,,
"LP110, LP-110, 110",Herb Alpert & The Tijuana Brass,Whipped Cream & Other Delights,"A&M Records, A&M Records, A&M Records","LP, Album, Mono",,1965,578954,Uncategorized,2025-06-15 10:53:05,,,
"SP-4114, SP 4114, 114",Herb Alpert & The Tijuana Brass,What Now My Love,"A&M Records, A&M Records, A&M Records","LP, Album",,1966,373490,Uncategorized,2025-06-15 09:05:06,,,
"SP-3006, LP 3006",Wes Montgomery,Down Here On The Ground,"A&M Records, CTI Records, A&M Records, CTI Records","LP, Album, Mon",,1968,3279088,Uncategorized,2025-06-15 10:12:36,,,
BTSD-6022,The Crusaders,Chain Reaction,ABC Blue Thumb,"LP, Album, San",,1975,568897,Uncategorized,2025-06-15 09:18:01,,,
AB-1006,Steely Dan,Aja,ABC Records,"LP, Album, San",,1977,1842334,Uncategorized,2025-06-15 09:57:10,,,
ABCD-846,Steely Dan,Katy Lied,ABC Records,"LP, Album, Ter",,1975,762014,Uncategorized,2025-06-15 10:46:37,,,
"ABCD-931, ABCD 931",Steely Dan,The Royal Scam,"ABC Records, ABC Records","LP, Album, San",,1976,373262,Uncategorized,2025-06-15 10:46:29,,,
AB-996/2,Isaac Hayes & Dionne Warwick,A Man And A Woman,"ABC Records, HBS","2xLP, Album, Pit",,1977,695398,Uncategorized,2025-06-15 10:08:29,,,
8626-1,Sam Cooke,Sam Cooke At The Copa,ABKCO,"LP, Album, RE, RM, 180",,2020,16137764,Uncategorized,2025-11-06 15:14:42,,,
92641,Sam Cooke,Portrait Of A Legend 1951-1964,ABKCO,"2xLP, Comp",,2003,14235099,Uncategorized,2025-11-08 08:57:37,,,
XXQLP2 078,Various,Choctaw Ridge (New Fables Of The American South 1968-1973),Ace,"2xLP, Album, Comp, Mono",,2021,19764313,Uncategorized,2025-06-15 09:48:14,,,
ASM 010,Various,Kosmos (Soundtracks Of Eastern Germany's Adventures In Space),All Score Media,"LP, Comp",,2002,1356241,Uncategorized,2025-06-15 10:41:26,,,
none,Jon Batiste,Christmas With Jon Batiste,Amazon Music (2),LP,,2017,13302893,Uncategorized,2025-12-07 10:10:43,,,
B0019197-01,Johnny Cash,American III: Solitary Man,American Recordings,"LP, Album, RE, 180",,2014,5469776,Uncategorized,2025-06-15 09:45:04,,,
AA-011,Various,Heartache In Your Hand: Startime Country,"Americana Anthropology, Startime Records","LP, Comp, Yel",,2025,33691167,Uncategorized,2025-06-15 09:17:52,,,
B0038014-01,Chappell Roan,The Rise & Fall Of A Midwest Princess,"Amusement Records (3), Island Records","LP + LP, S/Sided + Album, Dlx, Col",,2023,28461454,Uncategorized,2025-06-15 09:54:21,,,
"APRJ 7142, 7142",John Coltrane With Red Garland,Soultrane,"Analogue Productions, Prestige","LP, Album, Mono, Ltd, RE, RP, 180",,2022,21889021,Uncategorized,2025-11-08 08:56:04,,,
S-36544,"Jacqueline Du Pré, Daniel Barenboim, Johannes Brahms",The Two Sonatas For Cello And Piano,Angel Records,"LP, Album",,1969,12046139,Uncategorized,2025-07-06 10:32:50,,,
S-36544,"Johannes Brahms / Jacqueline Du Pré, Daniel Barenboim",The Two Sonatas For Cello And Piano,Angel Records,"LP, RE",,0,2951995,Uncategorized,2025-11-08 09:10:29,,,
87824-1,Neko Case,Wild Creatures,Anti-,"2xLP, Comp, Ltd, Eco",,2023,27540444,Uncategorized,2025-06-15 10:35:14,,,
87860-1,Waxahatchee,Tigers Blood,Anti-,"LP, Album, Ltd, Red",,2024,30149738,Uncategorized,2025-06-15 10:03:39,,,
87962-1,Neko Case,Neon Grey Midnight Green,Anti-,"LP, Album, Ltd, Gat",,2025,35210935,Uncategorized,2025-11-08 08:57:11,,,
87372-1SC2,Neko Case,"Truckdriver, Gladiator, Mule","Anti-, Lady Pilot","Box, Comp, Ltd + LP, Album, RE, RM, 180 + LP, Albu",,2015,7693476,Uncategorized,2025-04-27 13:35:25,,,
ANTI 87412-1,Neko Case,Hell-On,"Anti-, Lady Pilot","2xLP, Album, 180",,2018,12070040,Uncategorized,2025-06-15 10:35:06,,,
0602547567901,The Beatles,1,"Apple Records, Universal Music Group International","2xLP, Comp, RE, 180",,2015,7790160,Uncategorized,2025-06-15 09:21:36,,,
"00888072619814, none",Big Star,Radio City,"Ardent Records (2), Craft Recordings","LP, Album, Ltd, RE, Red",,2024,32122614,Uncategorized,2025-06-15 09:35:11,,,
"201 289, 201 289-320",Sparks,Terminal Jive,"Ariola, Oasis, Ariola","LP, Album",,1980,58954,Uncategorized,2025-11-08 08:53:58,,,
"AL 8-8019, AL8 8019",Aretha Franklin,Get It Right,"Arista, Arista","LP, Album, Ind",,1983,452045,Uncategorized,2025-07-06 10:20:39,,,
19658892871,Sarah McLachlan,Wintersong,"Arista, Nettwerk, Legacy, Sony Music","LP, Album, RE",,2024,31906375,Uncategorized,2025-06-15 09:38:04,,,
6E-104,Linda Ronstadt,Simple Dreams,Asylum Records,"LP, Album, PRC",,1977,2630972,Uncategorized,2025-07-06 10:29:43,,,
SD 5070,Jimmy Webb,Land's End,Asylum Records,"LP, Album, Pit",,1974,1770297,Uncategorized,2025-06-15 09:47:59,,,
"9 60260, 60260",Linda Ronstadt & Nelson Riddle And His Orchestra,What's New,"Asylum Records, Asylum Records","LP, Album, Club, RCA",,1983,11554834,Uncategorized,2025-06-15 10:05:38,,,
DP-90002,Various,Urban Cowboy (Original Motion Picture Soundtrack),"Asylum Records, Full Moon","2xLP, Album, Comp, CTH",,1980,2009521,Uncategorized,2025-06-15 09:08:18,,,
SD 2-801,Otis Redding,The Best Of Otis Redding,ATCO Records,"2xLP, Comp, RE, SP ",,1979,1355478,Uncategorized,2026-04-07 18:06:51,,,
SD 33-265,Otis Redding,Otis Redding In Person At The Whisky A Go Go,ATCO Records,"LP, Album",,1968,2139040,Uncategorized,2025-06-15 09:27:21,,,
SD 33-333,Otis Redding,Tell The Truth,ATCO Records,"LP, Album, PR ",,1970,2124425,Uncategorized,2025-06-22 12:19:20,,,
"33-161, APA 055-45",Otis Redding,Pain In My Heart,"ATCO Records, Analogue Productions","2x12"", Album, Mono, Ltd, Num, RE, RM, 180",,2025,35306632,Uncategorized,2025-11-02 09:59:32,,,
"SD 33-269, RCV1 695028 / 081227883201",Various,Soul Christmas,"ATCO Records, ATCO Records","LP, Comp, Club, Ltd, RE, Gre",,2022,24942214,Uncategorized,2025-06-15 10:57:48,,,
075678601552,Willow Avalon,Southern Belle Raisin' Hell,Atlantic,"LP, Album, Pin",,2025,33250317,Uncategorized,2025-11-08 09:04:17,,,
075678604034,Matchbox Twenty,Live 2001,Atlantic,"LP, RSD, Fla",,2025,35789251,Uncategorized,2026-04-07 18:02:14,,,
1-557538,Lizzo,Coconut Oil,Atlantic,"12"", EP, RSD, Ltd, Whi",,2019,14444462,Uncategorized,2025-06-15 11:02:16,,,
587037,Various,Solid Gold Soul,Atlantic,"LP, Comp, Mono",,1966,2980829,Uncategorized,2025-06-15 10:04:06,,,
7567-82342-2,Various,The Stax/Volt Revue • Volume 2 — Live In Paris,Atlantic,"CD, Album, RE, RM",,1991,5614967,Uncategorized,2025-05-14 13:28:32,,,
781 295-1,Various,Atlantic Rhythm & Blues 1947-1974 (Volume 3 1955-1958),Atlantic,"2xLP, Comp, Gat",,1985,4538729,Uncategorized,2025-06-25 20:22:15,,,
81282-1-Y,Otis Redding,The Best Of Otis Redding,Atlantic,"LP, Comp, AR",,0,19872937,Uncategorized,2025-06-15 09:43:23,,,
P-8621,Sam & Dave,Soul Men,Atlantic,"LP, Album, RE",,1982,2848817,Uncategorized,2026-01-18 09:09:06,,,
PR 170,Various,Whatever's Fair! (Atlantic Soul Explosion '72),Atlantic,"2xLP, Comp, Promo, Pre",,1972,1695211,Uncategorized,2026-04-07 18:09:54,,,
SD 1457,Dave Pike,Jazz For The Jet Set,Atlantic,"LP, Album",,1966,1027284,Uncategorized,2025-06-15 10:17:30,,,
SD 1534,Roland Kirk,Volunteered Slavery,Atlantic,"LP, Album, Mon",,1969,1247061,Uncategorized,2025-06-15 10:34:43,,,
SD 1646,Les McCann,Layers,Atlantic,"LP, Album, PR ",,1974,316990,Uncategorized,2025-06-15 10:49:46,,,
SD 1659,Eddie Harris,Is It In,Atlantic,"LP, Album, PR",,1974,1367989,Uncategorized,2025-06-15 10:33:32,,,
SD 19347,Sparks,Angst In My Pants,Atlantic,"LP, Album, Spe",,1982,1253662,Uncategorized,2025-06-15 09:21:29,,,
SD 2-504,Various,The Soul Years,Atlantic,"2xLP, Comp, Mono, PR ",,1973,856308,Uncategorized,2025-06-15 10:50:51,,,
SD 7207,Various,"Soul To Soul (Music From The Original Soundtrack - Recorded Live In Ghana, West Africa)",Atlantic,"LP, Pre",,1971,1388594,Uncategorized,2025-06-15 09:28:44,,,
SD 8153,The Drifters,The Drifters' Golden Hits,Atlantic,"LP, Comp, CT-",,1968,6455010,Uncategorized,2026-04-07 18:22:02,,,
SD 8161,Various,History Of Rhythm & Blues Volume 1: The Roots 1947-52,Atlantic,"LP, Comp, Ind",,1968,2196094,Uncategorized,2025-06-15 09:33:35,,,
SD 8162,Various,History Of Rhythm & Blues - Volume 2: The Golden Years 1953-55,Atlantic,"LP, Comp",,1968,3555832,Uncategorized,2025-06-15 09:23:50,,,
SD 8163,Various,History Of Rhythm & Blues Volume 3 Rock & Roll 1956-57,Atlantic,"LP, Comp, CT ",,1968,3254565,Uncategorized,2025-11-06 15:14:28,,,
SD 8170,Various,This Is Soul,Atlantic,"LP, Comp",,1968,11046303,Uncategorized,2025-11-08 09:04:25,,,
SD 8188,Various,The Super Hits Vol. 2,Atlantic,"LP, Comp",,1968,1884661,Uncategorized,2025-06-15 10:07:17,,,
SD 8202,Booker T & The MG's,The Best Of Booker T. & The MGs,Atlantic,"LP, Comp",,1968,5934607,Uncategorized,2025-06-15 09:09:40,,,
SD 8209,Various,History Of Rhythm & Blues  Volume 8  The Memphis Sound 1967,Atlantic,"LP, Comp, Mon",,1969,2196525,Uncategorized,2025-06-15 10:09:39,,,
SD 8218,Sam & Dave,The Best Of Sam & Dave,Atlantic,"LP, Comp, Pit",,1969,858058,Uncategorized,2025-06-15 07:01:01,,,
SD 8218,Sam & Dave,The Best Of Sam & Dave,Atlantic,"LP, Comp",,1969,3776054,Uncategorized,2025-06-15 09:07:19,,,
SD 8224,Various,The Super Hits Vol. 4,Atlantic,"LP, Comp, Ind",,1969,4601972,Uncategorized,2025-06-15 09:34:34,,,
SD 8232,Carla Thomas,The Best Of Carla Thomas,Atlantic,"LP, Comp, CTH",,1969,4432146,Uncategorized,2025-06-22 12:17:36,,,
SD 8250,Wilson Pickett,Right On,Atlantic,"LP, Album, Mon",,1970,2303748,Uncategorized,2025-06-15 09:28:17,,,
SD 8259,Eugene McDaniels,Outlaw,Atlantic,"LP, Album, MO ",,1970,531999,Uncategorized,2025-06-15 10:40:48,,,
SD 8274,Various,The Super Hits Volume 5,Atlantic,"LP, Comp, RE",,0,23257064,Uncategorized,2025-06-25 20:20:39,,,
SD 8274,Various,The Super Hits Volume 5,Atlantic,"LP, Comp, RE, RI ",,0,3357816,Uncategorized,2025-11-08 09:21:34,,,
SD 8281,Eugene McDaniels,Headless Heroes Of The Apocalypse,Atlantic,"LP, Album, PRC",,1971,2044943,Uncategorized,2025-06-15 10:40:56,,,
SD 8290,Wilson Pickett,The Best Of Wilson Pickett Vol. II,Atlantic,"LP, Comp, PR",,1971,2616121,Uncategorized,2026-04-07 18:20:22,,,
SD 8295,Aretha Franklin,Aretha's Greatest Hits,Atlantic,"LP, Comp, Club, CRC",,1971,6186915,Uncategorized,2025-06-15 09:57:36,,,
SD-7208,Led Zeppelin,Untitled,Atlantic,"LP, Album, Gat",,1971,5605451,Uncategorized,2025-06-15 10:21:32,,,
SD8182,The Sweet Inspirations,Songs Of Faith & Inspiration,Atlantic,"LP, Album, Ter",,1968,2923822,Uncategorized,2026-04-07 18:23:26,,,
SMLP 011,Various,Soul Machine The Latest Biggest Soul-Hits,Atlantic,"LP, Comp",,1969,2240842,Uncategorized,2025-06-15 09:32:23,,,
075678604188,Paul Cauthen,Black On Black,"Atlantic, Anemoia","LP, Album, Bla",,2024,32491761,Uncategorized,2026-04-07 18:13:15,,,
"643 301, 643301",Various,This Is Soul,"Atlantic, Atlantic","LP, Album, Comp, Mono",,1968,1078710,Uncategorized,2025-06-15 09:33:26,,,
"81293-1-F, 7 81293-1-F",Various,Atlantic Rhythm & Blues 1947-1974 (Volume 1 1947-1952),"Atlantic, Atlantic","2xLP, Comp, RM, SP ",,1985,2167827,Uncategorized,2025-06-15 09:15:31,,,
"81294-1-F, 7 81294-1-F",Various,Atlantic Rhythm & Blues 1947-1974 (Volume 2 1952-1955),"Atlantic, Atlantic","2xLP, Comp, RM, Spe",,1985,2244305,Uncategorized,2025-06-15 09:15:21,,,
"81295-1-F, 7 81295-1-F",Various,Atlantic Rhythm & Blues 1947-1974 (Volume 3 1955-1958),"Atlantic, Atlantic","2xLP, Comp, RM, Spe",,1985,2167889,Uncategorized,2025-11-08 09:21:53,,,
"81296-1-F, 7 81296-1-F",Various,Atlantic Rhythm & Blues 1947-1974 (Volume 4 1958-1962),"Atlantic, Atlantic","2xLP, Comp, RM, SP ",,1985,2673743,Uncategorized,2025-06-25 20:22:45,,,
"81297-1-F, 7 81297-1-F",Various,Atlantic Rhythm And Blues 1947-1974 (Volume 5 1962 - 1966),"Atlantic, Atlantic","2xLP, Comp, RM, SP ",,1985,2710448,Uncategorized,2025-06-15 09:15:40,,,
"81298-1-F, 7 81298-1-F",Various,Atlantic Rhythm & Blues 1947-1974 (Volume 6 1966-1969),"Atlantic, Atlantic","2xLP, Comp, RM, SP ",,1985,1628624,Uncategorized,2025-06-25 20:21:57,,,
"82341-2, 7 82341-2",Various,The Stax/Volt Revue • Volume One - Live In London,"Atlantic, Atlantic","CD, Album, RE",,1991,1359006,Uncategorized,2026-04-07 18:11:33,,,
"A1 81299, 7 A1 81299",Various,"Atlantic Rhythm & Blues 1947-1974, Volume 7 1969-1974","Atlantic, Atlantic","2xLP, Comp, Club, Gat",,1985,2615458,Uncategorized,2025-06-15 09:32:36,,,
"SD 8164, 8164",Various,History Of Rhythm & Blues Volume 4: The Big Beat 1958-60,"Atlantic, Atlantic","LP, Comp, Gre",,1968,1794930,Uncategorized,2025-06-15 09:33:42,,,
"SD 8203, 8203",Various,The Super Hits Vol. 3,"Atlantic, Atlantic","LP, Comp, CT ",,1968,1567577,Uncategorized,2025-06-15 10:07:08,,,
"SD 8285, SD-8285",MC5,High Time,"Atlantic, Atlantic","LP, Album, Promo, PR ",,1971,3747763,Uncategorized,2025-06-15 10:54:00,,,
"0075678652134, none",Lizzo,Cuz I Love You,"Atlantic, Nice Life","LP, Album",,2019,14115256,Uncategorized,2025-06-15 11:02:07,,,
007567861676,Various,Barbie The Album,"Atlantic, WaterTower Music","LP, Album, Pin",,2023,27535197,Uncategorized,2025-06-15 10:11:05,,,
ATO0545,Alabama Shakes,Sound & Color,ATO Records,"2xLP, Album, Dlx, Ltd, Red",,2021,20804647,Uncategorized,2025-11-08 09:02:10,,,
ATO0597,Alabama Shakes,Boys & Girls,ATO Records,"LP, Album, RSD, RE, Sil",,2022,22727045,Uncategorized,2025-11-08 09:02:16,,,
"LAUFRSD25, 5056167180661, none",Laufey (2) With Los Angeles Philharmonic Orchestra,A Night At The Symphony: Hollywood Bowl,"AWAL Recordings, AWAL Recordings, Hollywood Bowl","2xLP, Album, RSD, Ltd",,2025,33671844,Uncategorized,2025-06-15 09:18:58,,,
MCA-5105,Tom Petty And The Heartbreakers,Damn The Torpedoes,Backstreet Records,"LP, Album, Pin",,1979,1024395,Uncategorized,2026-04-07 18:05:27,,,
BOSS 5-1978,Nirvana,Olympia Community Radio Session April 17th 1987,Bad Joker,"LP, Album, Ltd, Unofficial",,2015,7565427,Uncategorized,2026-04-07 18:03:15,,,
BLPS-217,Neil Diamond,Just For You,Bang Records,"LP, Album",,1967,2010294,Uncategorized,2025-06-15 09:23:28,,,
"BBELP0 17, BBELP0017",Josh Davis And Keb Darge,Funk Spectrum (Real Funk For Real People),"BBE, BBE","2xLP, Comp",,1999,250995,Uncategorized,2025-06-15 10:27:54,,,
"BBE LP 010, BBELP010, BBE LP010",Various,Bite Hard: The Music Of De Wolfe Studio Sampler 1972-80,"BBE, Music De Wolfe, BBE, BBE","LP, Comp",,1998,419841,Uncategorized,2025-06-15 10:15:32,,,
BAF18071,Various,...There's Trouble Brewin'... (16 Serious Rockin' Crackers For Your Christmas Hop),Bear Family Records,"LP, Comp, RM, Gre",,2021,20288155,Uncategorized,2025-06-15 10:57:56,,,
BAF18075,Various,Get Ready For A Groovy And Bluesy Christmas,Bear Family Records,"LP, Comp, Ltd, RM, Tra",,2024,31819556,Uncategorized,2026-04-07 18:13:48,,,
"BEGA 10, K 50646",Gary Numan,The Pleasure Principle,"Beggars Banquet, Beggars Banquet","LP, Album",,1979,45996,Uncategorized,2025-06-15 10:10:14,,,
bd017,The Infesticons,Gun Hill Road,Big Dada Recordings,"2xLP, Album",,2000,17327530,Uncategorized,2025-06-15 10:34:18,,,
BD047,The Majesticons,Beauty Party,Big Dada Recordings,"2xLP, Album",,2003,478633,Uncategorized,2025-06-15 10:52:57,,,
none,Charles Wesley Godwin,Live From Echo Mountain,Big Loud Records,"LP, Album, RSD, Sun",,2024,32429115,Uncategorized,2025-06-15 09:35:30,,,
none,Charles Wesley Godwin,Live From The Steel City,Big Loud Records,"3xLP, Ltd, App",,2025,35912920,Uncategorized,2026-04-07 18:10:52,,,
none,Kashus Culpepper,Act I,Big Loud Records,LP,,2026,36380086,Uncategorized,2026-04-07 18:18:16,,,
BMRCO0600F,Taylor Swift,Reputation,Big Machine Records,"2xLP, Album, Pic",,2017,11256175,Uncategorized,2025-06-22 12:01:29,,,
00843930021154,Taylor Swift,Taylor Swift,"Big Machine Records, Universal Music Group International","2xLP, Album, RE",,2016,9405462,Uncategorized,2026-04-07 18:05:53,,,
LP-1,Elvis Presley,To Know Him Is To Love Him,Black Belt Records,"LP, Unofficial",,0,7691454,Uncategorized,2025-11-08 09:01:14,,,
BS 260 LP,Various,13 Days Of Xmas,Bloodshot Records,"LP, Album, Comp, Ltd, Gre",,2017,11253115,Uncategorized,2025-06-15 10:55:49,,,
BU018LP,Big Boss Man,Humanize,Blow Up Records,"LP, Album",,2001,997403,Uncategorized,2025-06-15 10:28:24,,,
BU025LP,The Bongolian,The Bongolian,Blow Up Records,"LP, Album",,2002,858308,Uncategorized,2025-06-15 10:28:41,,,
00602438154425,Norah Jones,I Dream Of Christmas,Blue Note,"LP, Album",,2021,20588200,Uncategorized,2025-06-15 09:37:48,,,
7243 4 94705 1 4,Grant Green,Blue Breakbeats,Blue Note,"LP, Comp",,1998,1397997,Uncategorized,2025-06-15 10:15:48,,,
7243 5 251 14 1 9,St Germain,Tourist,Blue Note,"2x12"", Album, RE, 180",,2013,5194537,Uncategorized,2025-06-15 10:52:25,,,
7243 5 36447 1 0,Madlib,Shades Of Blue,Blue Note,"2xLP, Album",,2003,158142,Uncategorized,2025-06-15 10:17:48,,,
7243 527472 1,Erik Truffaz,The Mask,Blue Note,"2xLP, Album",,2000,1631123,Uncategorized,2025-06-15 10:48:56,,,
BLP 1503,Bud Powell,The Amazing Bud Powell (Volume 1),Blue Note,"LP, Album, Mono, Fla",,1955,2132206,Uncategorized,2025-06-15 10:41:11,,,
BLP 1593,Lou Donaldson,Blues Walk,Blue Note,"LP, Album, Mono, Dee",,1958,1603928,Uncategorized,2025-06-15 10:43:27,,,
BST 84157,Lee Morgan,The Sidewinder,Blue Note,"LP, Album, RE, RM",,1985,15829399,Uncategorized,2025-06-15 10:27:06,,,
"BST 81577, S11-56987",John Coltrane,Blue Train,"Blue Note, Blue Note","LP, Album, RE, RM, Wal",,1993,1309909,Uncategorized,2025-06-15 10:18:39,,,
"BST 84 341 K, BST-84341",The Three Sounds,Soul Symphony,"Blue Note, Blue Note","LP, Album",,1969,2246399,Uncategorized,2025-06-15 09:05:46,,,
"BST-84360, BST 84360",Grant Green,Alive!,"Blue Note, Blue Note","LP, Album",,1970,1345289,Uncategorized,2025-06-15 10:24:44,,,
"00602508073854, 84360, BST-84360, BST 84360",Grant Green,Alive!,"Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2019,14404895,Uncategorized,2025-11-08 08:53:42,,,
"3579051, 00602435790510, 84117, ST-84117, BST 8411",Jimmy Smith,Back At The Chicken Shack,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2021,19270828,Uncategorized,2025-06-15 10:00:04,,,
"3808954, 00602438089543, BST 84323, 84323",Duke Pearson,Merry Ole Soul,"Blue Note, UMe, UMe, Blue Note, Blue Note","LP, Album, RE, 180",,2021,20435935,Uncategorized,2026-04-07 18:01:23,,,
BTS 6001,The Crusaders,Crusaders 1,Blue Thumb Records,"2xLP, Album, Ter",,1972,2447492,Uncategorized,2025-06-15 10:31:13,,,
538630441,Jim Croce,Jim Croce Photographs And Memories ,BMG,"LP, Comp, Ltd, Red",,2021,19178299,Uncategorized,2025-06-15 10:42:26,,,
"BMGCAT745LP, 4050538813074",The Kinks,Something Else By The Kinks,"BMG, ABKCO, BMG","LP, Album, Mono, RE",,2022,24748088,Uncategorized,2025-11-08 09:03:43,,,
BMGAA09LP,The Kinks,The Kinks Are The Village Green Preservation Society,"BMG, Pye Records","LP, Album, RE, RM",,2018,12764425,Uncategorized,2025-06-15 10:16:30,,,
BDS 5129,The Cecil Holmes Soulful Sounds,The Black Motion Picture Experience,Buddah Records,"LP, Album, Mon",,1973,569071,Uncategorized,2025-06-15 10:04:52,,,
"CS 013, 8024709238528",Ennio Morricone,Senza Sapere Niente Di Lei (Original Motion Picture Soundtrack),"Cam Sugar, Decca","LP, Album, RSD, Ltd, Yel",,2023,26839517,Uncategorized,2025-06-15 10:04:43,,,
7816332,Olivia Dean,The Art Of Loving,Capitol Records,"LP, Album",,2025,35207368,Uncategorized,2025-12-09 12:04:38,,,
B0021464-01,Various,Christmas Cocktails Part Two,Capitol Records,"2xLP, Comp, RE, Gat",,2014,6445200,Uncategorized,2025-06-15 10:55:01,,,
EAP 3-1012,Les Baxter & His Orchestra,Selections From Rodgers & Hammerstein's South Pacific (Part 3),Capitol Records,"7"", EP, Mono",,1958,10419772,Uncategorized,2025-07-06 09:47:23,,,
SKAO-338,David Axelrod,Songs Of Experience,Capitol Records,"LP, Album, RE, Gat",,2000,440280,Uncategorized,2025-06-15 10:23:10,,,
SKAO-404,The Cannonball Adderley Quintet,Country Preacher,Capitol Records,"LP, Album, Gat",,1970,1146704,Uncategorized,2025-06-15 09:05:56,,,
SKAO-456,David Axelrod,Earth Rot,Capitol Records,"LP, Album",,1970,679324,Uncategorized,2025-06-15 10:23:49,,,
SKBB-11550,Bob Wills & His Texas Playboys,In Concert,Capitol Records,"2xLP, Album, Win",,1976,2644459,Uncategorized,2025-06-15 09:20:57,,,
SM-11822,Jessi Colter,Diamond In The Rough,Capitol Records,"LP, Album, RE",,0,5603801,Uncategorized,2025-11-08 09:06:24,,,
SM-2948,Lou Rawls,The Best Of Lou Rawls,Capitol Records,"LP, Comp",,1974,5446274,Uncategorized,2025-07-06 09:46:01,,,
SO-383,The Beatles,Abbey Road,Capitol Records,"LP, Album, RE",,1976,9816236,Uncategorized,2025-11-08 08:58:27,,,
ST 1881,Glen Campbell,Too Late To Worry-Too Blue To Cry,Capitol Records,"LP, Album, RP",,1968,2258760,Uncategorized,2025-06-15 09:57:50,,,
ST 1885,Ferlin Husky,The Heart And Soul Of Ferlin Husky,Capitol Records,"LP, Album, Scr",,1963,5268618,Uncategorized,2025-06-15 09:18:22,,,
ST 2097,Tennessee Ernie Ford,Country Hits...Feelin' Blue,Capitol Records,LP,,1964,5663679,Uncategorized,2025-07-06 09:34:04,,,
ST 2663,The Cannonball Adderley Quintet,"Mercy, Mercy, Mercy! - Live At ""The Club""",Capitol Records,"LP, Album, Scr",,1967,1523619,Uncategorized,2025-06-15 10:24:06,,,
ST 2688,Henry Cain,The Funky Organ-ization Of Henry Cain,Capitol Records,"LP, Album",,1968,1057508,Uncategorized,2025-06-15 10:30:27,,,
ST 2866,Laurindo Almeida,The Look Of Love And The Sounds Of Laurindo Almeida,Capitol Records,"LP, Album",,1968,1061312,Uncategorized,2025-06-15 10:45:06,,,
ST 2982,David Axelrod,Song Of Innocence,Capitol Records,"LP, Album, Scr",,1968,1992378,Uncategorized,2025-06-15 10:23:02,,,
ST-11363,Jessi Colter,I'm Jessi Colter,Capitol Records,"LP, Album, Los",,1975,993430,Uncategorized,2025-11-08 09:03:23,,,
ST-1781,The Hawaii Calls Orchestra And Chorus,A Merry Hawaiian Christmas,Capitol Records,"LP, Album, RE",,0,6470137,Uncategorized,2025-06-15 09:04:55,,,
ST-2756,Lou Rawls,That's Lou,Capitol Records,"LP, Album",,1967,2704649,Uncategorized,2025-11-08 09:07:05,,,
ST-616,Jimmy McGriff,Soul Sugar,Capitol Records,"LP, Album",,1970,573313,Uncategorized,2025-06-15 09:07:07,,,
ST-638,Merle Haggard,"A Tribute To The Best Damn Fiddle Player In The World: Or, My Salute To Bob Wills",Capitol Records,"LP, Album, Scr",,1970,2745226,Uncategorized,2025-11-08 09:06:31,,,
SVBB-11307,The Beach Boys,Endless Summer,Capitol Records,"2xLP, Comp, Los",,1974,4814695,Uncategorized,2025-06-15 10:46:51,,,
SVBB-11384,The Beach Boys,Spirit Of America,Capitol Records,"2xLP, Comp, Gat",,1975,869779,Uncategorized,2025-06-15 10:43:35,,,
SWBB-636,The Cannonball Adderley Quintet,The Price You Got To Pay To Be Free,Capitol Records,"2xLP, Album, Win",,1970,1701196,Uncategorized,2025-06-15 09:02:24,,,
T 20856,The Beach Boys,Best Of The Beach Boys,Capitol Records,"LP, Comp, Mono",,1966,1308895,Uncategorized,2025-06-15 08:50:28,,,
"11C 076-83123, 11C 076 - 83 123",Cannonball Adderley,Cannonball Adderley Live!,"Capitol Records, Capitol Records","LP, Album, RE",,1981,9434258,Uncategorized,2025-06-15 10:23:57,,,
